Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
124,"Cheese, Mexican blend",100 g,358,659.00 mg,23.54 g,1.75 g,0.0 g,1.23 g,28.51 g
125,"Oranges, Florida, raw",100 g,46,43.00 mg,0.70 g,11.54 g,2.4 g,9.14 g,0.21 g
126,"SILK Vanilla, soymilk",100 g,41,123.00 mg,2.47 g,4.12 g,0.4 g,2.88 g,1.44 g
127,"Papaya nectar, canned",100 g,57,10.00 mg,0.17 g,14.51 g,0.6 g,13.91 g,0.15 g
128,"Fiddlehead ferns, raw",100 g,34,32.00 mg,4.55 g,5.54 g,0,0,0.40 g
129,SILK Peach soy yogurt,100 g,94,176.00 mg,2.35 g,18.82 g,0.6 g,14.71 g,1.18 g
130,SILK Plain soy yogurt,100 g,66,132.00 mg,2.64 g,9.69 g,0.4 g,5.29 g,1.76 g
131,"PACE, Enchilada Sauce",100 g,40,0,1.67 g,8.33 g,1.7 g,6.67 g,0.00 g
132,Yeast extract spread,100 g,185,67.00 mg,23.88 g,20.42 g,6.5 g,1.60 g,0.90 g
133,"Tomatoes, raw, green",100 g,23,13.00 mg,1.20 g,5.10 g,1.1 g,4.00 g,0.20 g
134,"Mollusks, raw, snail",100 g,90,10.00 mg,16.10 g,2.00 g,0.0 g,0.00 g,1.40 g
135,"Emu, raw, fan fillet",100 g,103,3.00 mg,22.50 g,0.00 g,0.0 g,0.00 g,0.80 g
136,"Pasta, enriched, dry",100 g,371,21.00 mg,13.04 g,74.67 g,3.2 g,2.67 g,1.51 g
137,"Cookies, gingersnaps",100 g,416,77.00 mg,5.60 g,76.90 g,2.2 g,19.92 g,9.80 g
138,"Sour cream, fat free",100 g,74,125.00 mg,3.10 g,15.60 g,0.0 g,0.39 g,0.00 g
139,"MURRAY, Honey Graham",100 g,445,379.00 mg,5.90 g,75.70 g,2.7 g,22.00 g,13.20 g
140,"Frankfurter, chicken",100 g,223,74.00 mg,15.51 g,2.74 g,0.0 g,2.98 g,16.19 g
141,"Ham, canned, chopped",100 g,239,7.00 mg,16.06 g,0.26 g,0.0 g,0.00 g,18.83 g
142,"Spices, dried, thyme",100 g,276,1890.00 mg,9.11 g,63.94 g,37.0 g,1.71 g,7.43 g
143,"Carrot juice, canned",100 g,40,24.00 mg,0.95 g,9.28 g,0.8 g,3.91 g,0.15 g
144,"Corn, dried (Navajo)",100 g,386,15.00 mg,9.88 g,74.93 g,0,5.38 g,5.22 g
145,"Pate, truffle flavor",100 g,327,70.00 mg,11.20 g,6.30 g,0,0,28.50 g
146,"Fruit butters, apple",100 g,173,14.00 mg,0.39 g,42.47 g,1.5 g,35.30 g,0.30 g
147,"Fast foods, coleslaw",100 g,153,30.00 mg,0.95 g,14.89 g,1.9 g,12.19 g,9.91 g
148,"Salami, beef, cooked",100 g,261,6.00 mg,12.60 g,1.90 g,0.0 g,1.50 g,22.20 g
149,"Spices, chili powder",100 g,282,330.00 mg,13.46 g,49.70 g,34.8 g,7.19 g,14.28 g
150,"Spices, caraway seed",100 g,333,689.00 mg,19.77 g,49.90 g,38.0 g,0.64 g,14.59 g
151,"Spices, dried, basil",100 g,233,2240.00 mg,22.98 g,47.75 g,37.7 g,1.71 g,4.07 g
152,"Pickle relish, sweet",100 g,130,3.00 mg,0.37 g,35.06 g,1.1 g,29.13 g,0.47 g
153,"Chives, freeze-dried",100 g,311,813.00 mg,21.20 g,64.29 g,26.2 g,0,3.50 g
154,"Fish, raw, sablefish",100 g,195,35.00 mg,13.41 g,0.00 g,0.0 g,0,15.30 g
155,"Crackers, multigrain",100 g,482,14.00 mg,7.10 g,67.60 g,3.5 g,12.00 g,20.40 g
156,"Spices, ground, mace",100 g,475,252.00 mg,6.71 g,50.50 g,20.2 g,0,32.38 g
157,"Spices, onion powder",100 g,341,384.00 mg,10.41 g,79.12 g,15.2 g,6.63 g,1.04 g
158,"Butter, without salt",100 g,717,24.00 mg,0.85 g,0.06 g,0.0 g,0.06 g,81.11 g
159,"Rice noodles, cooked",100 g,108,4.00 mg,1.79 g,24.01 g,1.0 g,0.03 g,0.20 g
160,Barley flour or meal,100 g,345,32.00 mg,10.50 g,74.52 g,10.1 g,0.80 g,1.60 g
161,"Sesbania flower, raw",100 g,27,19.00 mg,1.28 g,6.73 g,0,0,0.04 g
162,"Garlic bread, frozen",100 g,350,27.00 mg,8.36 g,41.72 g,2.5 g,3.69 g,16.61 g
163,"KFC, Popcorn Chicken",100 g,351,32.00 mg,17.67 g,21.18 g,1.0 g,0.00 g,21.74 g
164,"APPLEBEE'S, coleslaw",100 g,120,36.00 mg,0.79 g,13.17 g,2.8 g,9.33 g,7.09 g
165,"Rolls, sweet, dinner",100 g,321,62.00 mg,10.04 g,53.58 g,3.1 g,15.38 g,7.37 g
166,"Cherries, raw, sweet",100 g,63,13.00 mg,1.06 g,16.01 g,2.1 g,12.82 g,0.20 g
167,"Ostrich, raw, ground",100 g,165,7.00 mg,20.22 g,0.00 g,0.0 g,0.00 g,8.70 g
168,"SILK Coffee, soymilk",100 g,62,123.00 mg,2.06 g,10.29 g,0.0 g,9.47 g,1.44 g
169,"Snacks, banana chips",100 g,519,18.00 mg,2.30 g,58.40 g,7.7 g,35.34 g,33.60 g
170,"Peaches, raw, yellow",100 g,39,6.00 mg,0.91 g,9.54 g,1.5 g,8.39 g,0.25 g
171,"Rolls, wheat, dinner",100 g,273,176.00 mg,8.60 g,46.00 g,3.8 g,1.63 g,6.30 g
172,"Candies, HEATH BITES",100 g,530,86.00 mg,3.94 g,63.39 g,2.0 g,60.02 g,30.38 g
173,"Chicken, raw, ground",100 g,143,6.00 mg,17.44 g,0.04 g,0.0 g,0.00 g,8.10 g
174,"Pears, bartlett, raw",100 g,63,9.00 mg,0.39 g,15.01 g,3.1 g,9.69 g,0.16 g
175,"Toppings, strawberry",100 g,254,6.00 mg,0.20 g,66.30 g,0.7 g,27.38 g,0.10 g
176,"KEEBLER, Sugar Cones",100 g,375,0,7.30 g,78.00 g,2.1 g,26.40 g,3.70 g
177,"Seaweed, raw, wakame",100 g,45,150.00 mg,3.03 g,9.14 g,0.5 g,0.65 g,0.64 g
178,"Seaweed, dried, agar",100 g,306,625.00 mg,6.21 g,80.88 g,7.7 g,2.97 g,0.30 g
179,"Bread, cracked-wheat",100 g,260,43.00 mg,8.70 g,49.50 g,5.5 g,0,3.90 g
180,"Amaranth leaves, raw",100 g,23,215.00 mg,2.46 g,4.02 g,0,0,0.33 g
181,"Barley, raw, pearled",100 g,352,29.00 mg,9.91 g,77.72 g,15.6 g,0.80 g,1.16 g
182,"Polish sausage, pork",100 g,326,12.00 mg,14.10 g,1.63 g,0.0 g,0,28.72 g
183,"Spices, curry powder",100 g,325,525.00 mg,14.29 g,55.83 g,53.2 g,2.76 g,14.01 g
184,"Bacon bits, meatless",100 g,476,101.00 mg,32.00 g,28.60 g,10.2 g,0.00 g,25.90 g
185,"Semolina, unenriched",100 g,360,17.00 mg,12.68 g,72.83 g,3.9 g,0,1.05 g
186,"Grape leaves, canned",100 g,69,289.00 mg,4.27 g,11.71 g,9.9 g,0,1.97 g
187,"Spices, ground, sage",100 g,315,1652.00 mg,10.63 g,60.73 g,40.3 g,1.71 g,12.75 g
188,"PACE, Red Taco Sauce",100 g,50,0.00 mg,0.00 g,12.50 g,0.0 g,6.25 g,0.00 g
189,"DENNY'S, hash browns",100 g,197,17.00 mg,2.49 g,26.59 g,2.7 g,1.38 g,8.99 g
190,"DENNY'S, onion rings",100 g,385,22.00 mg,5.29 g,41.05 g,2.4 g,4.76 g,22.23 g
191,"Ostrich, raw, oyster",100 g,125,6.00 mg,21.55 g,0.00 g,0.0 g,0.00 g,3.67 g
192,"Oil, corn and canola",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
193,"Pumpkin flowers, raw",100 g,15,39.00 mg,1.03 g,3.28 g,0,0,0.07 g
194,"Celery flakes, dried",100 g,319,587.00 mg,11.30 g,63.70 g,27.8 g,35.90 g,2.10 g
195,"Crackers, egg, matzo",100 g,391,40.00 mg,12.30 g,78.60 g,2.8 g,0,2.10 g
196,"Loganberries, frozen",100 g,55,26.00 mg,1.52 g,13.02 g,5.3 g,7.70 g,0.31 g
197,"Tangerine juice, raw",100 g,43,18.00 mg,0.50 g,10.10 g,0.2 g,9.90 g,0.20 g
198,"Soybeans, raw, green",100 g,147,197.00 mg,12.95 g,11.05 g,4.2 g,0,6.80 g
199,"Soybean, curd cheese",100 g,151,188.00 mg,12.50 g,6.90 g,0.0 g,1.60 g,8.10 g
200,"Game meat, raw, bear",100 g,161,3.00 mg,20.10 g,0.00 g,0.0 g,0,8.30 g
201,"Game meat, raw, deer",100 g,120,5.00 mg,22.96 g,0.00 g,0.0 g,0.00 g,2.42 g
202,"Oranges, navels, raw",100 g,49,43.00 mg,0.91 g,12.54 g,2.2 g,8.50 g,0.15 g
203,"Tostada shells, corn",100 g,474,76.00 mg,6.15 g,64.43 g,5.8 g,0,23.38 g
204,"Fish, raw, swordfish",100 g,144,5.00 mg,19.66 g,0.00 g,0.0 g,0.00 g,6.65 g
205,"Taro, raw, tahitian",100 g,44,129.00 mg,2.79 g,6.91 g,0,0,0.97 g
206,"Chicory greens, raw",100 g,23,100.00 mg,1.70 g,4.70 g,4.0 g,0.70 g,0.30 g
207,"Hearts of palm, raw",100 g,115,18.00 mg,2.70 g,25.61 g,1.5 g,17.16 g,0.20 g
208,"Chayote, raw, fruit",100 g,19,17.00 mg,0.82 g,4.51 g,1.7 g,1.66 g,0.13 g
209,"Fish, smoked, cisco",100 g,177,26.00 mg,16.36 g,0.00 g,0.0 g,0.00 g,11.90 g
210,"Frankfurter, turkey",100 g,223,148.00 mg,12.23 g,3.81 g,0.0 g,1.21 g,17.29 g
211,"Candies, jellybeans",100 g,375,3.00 mg,0.00 g,93.55 g,0.2 g,70.00 g,0.05 g
212,"Oil, ucuhuba butter",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
213,Soy protein isolate,100 g,335,178.00 mg,88.32 g,0.00 g,0.0 g,0.00 g,3.39 g
214,"Syrups, light, corn",100 g,283,13.00 mg,0.00 g,76.79 g,0.0 g,76.77 g,0.20 g
215,"Fish, raw, milkfish",100 g,148,51.00 mg,20.53 g,0.00 g,0.0 g,0,6.73 g
216,"Fish, raw, monkfish",100 g,76,8.00 mg,14.48 g,0.00 g,0.0 g,0,1.52 g
217,"Mother's loaf, pork",100 g,282,43.00 mg,12.07 g,7.53 g,0.0 g,0,22.30 g
218,"Tapioca, dry, pearl",100 g,358,20.00 mg,0.19 g,88.69 g,0.9 g,3.35 g,0.02 g
219,"Guavas, raw, common",100 g,68,18.00 mg,2.55 g,14.32 g,5.4 g,8.92 g,0.95 g
220,"Spices, celery seed",100 g,392,1767.00 mg,18.07 g,41.35 g,11.8 g,0.67 g,25.27 g
221,"Candies, peanut bar",100 g,522,78.00 mg,15.50 g,47.40 g,4.1 g,42.22 g,33.70 g
222,"Bread, toasted, rye",100 g,284,80.00 mg,9.40 g,53.10 g,6.4 g,4.23 g,3.60 g
223,"Oil, apricot kernel",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
