Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
4753,"Beef, raw, kidneys, variety meats and by-products",100 g,99,13.00 mg,17.40 g,0.29 g,0.0 g,0.00 g,3.09 g
4754,"Soybeans, steamed, cooked, sprouted, mature seeds",100 g,81,59.00 mg,8.47 g,6.53 g,0.8 g,0.52 g,4.45 g
4755,"Spinach, solids and liquids, regular pack, canned",100 g,19,83.00 mg,2.11 g,2.92 g,1.6 g,0.33 g,0.37 g
4756,"Puddings, prepared with 2% milk, dry mix, tapioca",100 g,105,105.00 mg,2.88 g,19.56 g,0.0 g,0,1.67 g
4757,"Turkey from whole, raw, meat and skin, light meat",100 g,161,11.00 mg,21.96 g,0.15 g,0.0 g,0.06 g,7.43 g
4758,"Soybeans, with salt, boiled, cooked, mature seeds",100 g,172,102.00 mg,18.21 g,8.36 g,6.0 g,2.36 g,8.97 g
4759,"Mollusks, moist heat, cooked, mixed species, clam",100 g,148,92.00 mg,25.55 g,5.13 g,0.0 g,0,1.95 g
4760,"Cereals ready-to-eat, Raisin Bran Cereal, MALT-O-MEAL",100 g,342,33.00 mg,7.63 g,80.37 g,10.2 g,33.04 g,1.87 g
4761,"Radishes, with salt, drained, boiled, cooked, oriental",100 g,17,17.00 mg,0.67 g,3.43 g,1.6 g,1.83 g,0.24 g
4762,"Turkey, roasted, with added solution, meat only, whole",100 g,140,14.00 mg,26.61 g,0.00 g,0.0 g,0.00 g,3.70 g
4763,"Oil, (over 70%), linoleic, salad or cooking, safflower",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
4764,"Shortening bread, soybean (hydrogenated) and cottonseed",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
4765,"Seeds, with salt added, toasted, sunflower seed kernels",100 g,619,57.00 mg,17.21 g,20.59 g,11.5 g,0,56.80 g
4766,"Squash, with salt, baked, cooked, all varieties, winter",100 g,37,22.00 mg,0.89 g,8.85 g,2.8 g,3.30 g,0.35 g
4767,"Ice creams, All Natural Light French Chocolate, BREYERS",100 g,201,158.00 mg,5.30 g,29.68 g,1.0 g,24.04 g,7.28 g
4768,"Pork sausage, pan-fried, cooked, reduced fat, link/patty",100 g,267,19.00 mg,20.94 g,0.15 g,0.0 g,0.00 g,20.32 g
4769,"Beef, fast fried, cooked, knuckle, imported, New Zealand",100 g,178,5.00 mg,27.51 g,0.00 g,0.0 g,0.00 g,7.58 g
4770,"Oil, (partially hydrogenated), salad or cooking, soybean",100 g,884,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
4771,"Turkey, 97% fat-free, lemon pepper flavor, smoked, breast",100 g,95,0,20.90 g,1.31 g,0.0 g,0.00 g,0.69 g
4772,"Cereals, dry, peach almond, REAL MEDLEYS, oatmeal, QUAKER",100 g,387,105.00 mg,10.10 g,68.61 g,7.4 g,24.85 g,9.84 g
4773,"Applesauce, with added ascorbic acid, unsweetened, canned",100 g,42,4.00 mg,0.17 g,11.27 g,1.1 g,9.39 g,0.10 g
4774,"Soup, prepared with equal volume water, canned, green, pea",100 g,61,12.00 mg,3.20 g,9.88 g,1.9 g,3.19 g,1.09 g
4775,"Beef, baked, cooked, loaf, 85% lean meat / 15% fat, ground",100 g,240,18.00 mg,25.93 g,0.00 g,0.0 g,0.00 g,14.36 g
4776,"Candies, M&M's Peanut Chocolate Candies, MARS SNACKFOOD US",100 g,515,102.00 mg,9.57 g,60.48 g,3.7 g,50.75 g,26.13 g
4777,"Whipped cream substitute, made from powdered mix, dietetic",100 g,100,3.00 mg,0.90 g,10.60 g,0.0 g,10.60 g,6.00 g
4778,"Gooseberries, solids and liquids, light syrup pack, canned",100 g,73,16.00 mg,0.65 g,18.75 g,2.4 g,0,0.20 g
4779,"Cereals ready-to-eat, Golden Maple, QUAKER Oatmeal Squares",100 g,380,201.00 mg,11.30 g,78.04 g,8.3 g,16.82 g,4.83 g
4780,"Beef, baked, cooked, loaf, 70% lean meat / 30% fat, ground",100 g,241,33.00 mg,23.87 g,0.00 g,0.0 g,0.00 g,15.37 g
4781,"CAMPBELL'S CHUNKY Soups, Beef with Country Vegetables Soup",100 g,53,8.00 mg,3.27 g,7.35 g,1.2 g,1.63 g,1.22 g
4782,"SUPPER BAKES MEAL KITS, Creamy Stroganoff Sauce with pasta",100 g,147,0,4.80 g,24.80 g,0.8 g,2.40 g,3.20 g
4783,"Puddings, prepared with 2% milk, regular, dry mix, vanilla",100 g,101,108.00 mg,2.94 g,18.53 g,0.0 g,0,1.73 g
4784,"Soup, prepared with equal volume water, canned, chili beef",100 g,57,18.00 mg,2.49 g,9.23 g,1.2 g,2.49 g,1.24 g
4785,"New Zealand spinach, without salt, drained, boiled, cooked",100 g,12,48.00 mg,1.30 g,2.13 g,1.4 g,0.25 g,0.17 g
4786,"Squash, with salt, mashed, boiled, cooked, hubbard, winter",100 g,30,10.00 mg,1.48 g,6.46 g,2.9 g,2.93 g,0.37 g
4787,"CAMPBELL'S CHUNKY Soups, Old Fashioned Vegetable Beef Soup",100 g,49,17.00 mg,3.16 g,6.24 g,1.3 g,1.15 g,1.23 g
4788,"Beverages, dairy based., powder, natural, Malted drink mix",100 g,428,298.00 mg,14.29 g,71.21 g,0.1 g,47.62 g,9.52 g
4789,"Cereals, dry, apples and cinnamon, Instant Oatmeal, QUAKER",100 g,366,243.00 mg,8.62 g,76.74 g,8.3 g,28.87 g,4.61 g
4790,"Cereals, cinnamon, weight control, Instant Oatmeal, QUAKER",100 g,361,245.00 mg,16.50 g,64.21 g,13.0 g,1.27 g,6.28 g
4791,"Veal, raw, separable fat, composite of trimmed retail cuts",100 g,638,7.00 mg,6.02 g,0.00 g,0.0 g,0,67.83 g
4792,"HUNGRY MAN, unprepared, frozen, Salisbury Steak With Gravy",100 g,136,29.00 mg,7.96 g,6.96 g,1.3 g,0.18 g,8.53 g
4793,"Turkey, bone removed, with skin, cooked, smoked, drumstick",100 g,208,32.00 mg,27.90 g,0.00 g,0.0 g,0.00 g,9.80 g
4794,"Mustard greens, with salt, drained, boiled, cooked, frozen",100 g,19,101.00 mg,2.27 g,3.11 g,2.8 g,0.32 g,0.25 g
4795,"CAMPBELL'S, condensed, 98% Fat Free Cream of Mushroom Soup",100 g,53,8.00 mg,1.10 g,7.63 g,1.2 g,0.25 g,1.98 g
4796,"Cake, with vanilla frosting, commercially prepared, yellow",100 g,391,62.00 mg,2.99 g,56.20 g,0.3 g,41.79 g,17.91 g
4797,"Game meat, broiled, cooked, separable lean only, loin, elk",100 g,167,5.00 mg,31.00 g,0.00 g,0.0 g,0.00 g,3.84 g
4798,"Salad dressing, without salt, reduced fat, french dressing",100 g,233,11.00 mg,0.58 g,29.28 g,1.1 g,28.45 g,13.46 g
4799,"Cookies, with creme filling, vanilla sandwich, gluten-free",100 g,493,0,2.66 g,74.61 g,0.5 g,46.68 g,20.47 g
4800,"Peppers, without salt, drained, boiled, cooked, red, sweet",100 g,28,9.00 mg,0.92 g,6.70 g,1.2 g,4.39 g,0.20 g
4801,"CAMPBELL'S Red and White, condensed, PHINEAS and FERB Soup",100 g,56,16.00 mg,2.38 g,8.73 g,0.8 g,0.79 g,1.59 g
4802,"Corn, without salt, drained, boiled, cooked, yellow, sweet",100 g,96,3.00 mg,3.41 g,20.98 g,2.4 g,4.54 g,1.50 g
4803,"Turkey ham, prepackaged or deli-sliced, extra lean, sliced",100 g,124,5.00 mg,19.60 g,2.93 g,0.0 g,0.00 g,3.80 g
4804,"Chrysanthemum, with salt, drained, boiled, cooked, garland",100 g,20,69.00 mg,1.64 g,4.31 g,2.3 g,2.01 g,0.09 g
4805,"Beverages, diet, decaffeinated, ready to drink, black, tea",100 g,0,11.00 mg,0.00 g,0.83 g,0.0 g,0.00 g,0.00 g
4806,"Cereals ready-to-eat, KASHI GOLEAN Vanilla Graham Clusters",100 g,330,105.00 mg,21.50 g,70.09 g,17.3 g,17.79 g,2.59 g
4807,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond",100 g,375,105.00 mg,7.59 g,81.50 g,10.3 g,27.50 g,5.09 g
4808,"Chicken, raw, meat and skin, drumstick, broilers or fryers",100 g,161,8.00 mg,18.08 g,0.11 g,0.0 g,0.00 g,9.20 g
4809,"Infant formula, powder, PROTECT PLUS, GOOD START 2, GERBER",100 g,501,956.00 mg,11.10 g,56.30 g,0.0 g,56.30 g,25.70 g
4810,"Beef, raw, all grades, separable lean only, whole, brisket",100 g,155,5.00 mg,20.72 g,0.00 g,0.0 g,0.00 g,7.37 g
4811,"Turkey, roasted, with added solution, meat and skin, whole",100 g,176,15.00 mg,26.09 g,0.00 g,0.0 g,0.00 g,8.01 g
4812,"KEEBLER, Original, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",100 g,487,0,6.60 g,64.30 g,2.1 g,6.80 g,23.10 g
4813,"Beans, without salt, drained, boiled, cooked, yellow, snap",100 g,35,46.00 mg,1.89 g,7.88 g,3.3 g,3.63 g,0.28 g
4814,"Babyfood, toddler, beef and tomato sauce, macaroni, dinner",100 g,81,12.00 mg,4.34 g,11.53 g,1.1 g,0.37 g,1.90 g
4815,"HORMEL ALWAYS TENDER, Peppercorn-Flavored, Pork Tenderloin",100 g,110,14.00 mg,17.21 g,1.82 g,0,0.14 g,3.80 g
4816,"Beef, baked, cooked, loaf, 80% lean meat / 20% fat, ground",100 g,254,23.00 mg,25.25 g,0.00 g,0.0 g,0.00 g,16.17 g
4817,"Cereals ready-to-eat, KELLOGG'S ALL-BRAN Original, KELLOGG",100 g,259,389.00 mg,13.14 g,74.24 g,29.3 g,15.69 g,4.90 g
4818,"Pork, raw, separable lean and fat, whole, leg (ham), fresh",100 g,245,5.00 mg,17.43 g,0.00 g,0.0 g,0,18.87 g
4819,"Snacks, TERRA CHIPS, HAIN CELESTIAL GROUP, vegetable chips",100 g,517,79.00 mg,4.13 g,57.97 g,10.9 g,9.75 g,29.81 g
4820,"KEEBLER, Dark Chocolate Almond Shortbread Cookies, SANDIES",100 g,540,0,6.10 g,59.90 g,2.6 g,26.50 g,31.00 g
4821,"Alcoholic beverage, prepared from item 14028, whiskey sour",100 g,153,1.00 mg,0.06 g,12.82 g,0.0 g,12.78 g,0.06 g
4822,"Soup, prepared with equal volume milk, canned, oyster stew",100 g,55,68.00 mg,2.51 g,3.99 g,0.0 g,0,3.24 g
4823,"Candies, M&M's Almond Chocolate Candies, MARS SNACKFOOD US",100 g,522,155.00 mg,7.53 g,60.50 g,5.6 g,49.22 g,27.76 g
4824,"Elk, cooked patties (Shoshone Bannock), ground, free range",100 g,143,5.00 mg,29.45 g,0.00 g,0,0.00 g,2.80 g
4825,"Crackers, sandwich-type with peanut butter filling, cheese",100 g,496,50.00 mg,12.41 g,56.74 g,3.4 g,6.98 g,25.12 g
4826,"Grapefruit juice, OCEAN SPRAY, unsweetened, bottled, white",100 g,34,14.00 mg,0.58 g,7.93 g,0.8 g,7.50 g,0.10 g
4827,"Chicken, fried, cooked, meat only, leg, broilers or fryers",100 g,208,13.00 mg,28.38 g,0.65 g,0.0 g,0,9.32 g
4828,"Succotash, with cream style corn, canned, (corn and limas)",100 g,77,11.00 mg,2.64 g,17.61 g,3.0 g,0,0.54 g
4829,"Beans, drained solids, no salt added, canned, yellow, snap",100 g,20,26.00 mg,1.15 g,4.50 g,1.3 g,0.78 g,0.10 g
4830,"Strawberries, solids and liquids, heavy syrup pack, canned",100 g,92,13.00 mg,0.56 g,23.53 g,1.7 g,21.83 g,0.26 g
4831,"CAMPBELL'S, condensed, 98% Fat Free Cream of Broccoli Soup",100 g,56,16.00 mg,1.61 g,8.06 g,1.6 g,0.81 g,1.61 g
4832,"Squash, without salt, baked, cooked, all varieties, winter",100 g,37,22.00 mg,0.89 g,8.85 g,2.8 g,3.30 g,0.35 g
4833,"Yardlong beans, without salt, boiled, cooked, mature seeds",100 g,118,42.00 mg,8.29 g,21.09 g,3.8 g,0,0.45 g
4834,"Beverages, canned, with added nutrients, Fruit punch drink",100 g,47,8.00 mg,0.00 g,11.94 g,0.2 g,11.29 g,0.00 g
4835,"Cereals ready-to-eat, CINNAMON TOAST CRUNCH, GENERAL MILLS",100 g,410,444.00 mg,5.45 g,77.99 g,6.8 g,30.30 g,10.25 g
4836,"Gelatin desserts, with aspartame, reduced calorie, dry mix",100 g,198,8.00 mg,15.67 g,80.21 g,0.1 g,0.00 g,0.00 g
4837,"Potatoes, without salt, flesh, cooked without skin, boiled",100 g,86,8.00 mg,1.71 g,20.01 g,1.8 g,0.89 g,0.10 g
4838,"Tortillas, without added salt, corn, ready-to-bake or -fry",100 g,222,175.00 mg,5.70 g,46.60 g,5.2 g,0,2.50 g
4839,"Restaurant, from kid's menu, chicken fingers, family style",100 g,307,21.00 mg,18.68 g,18.77 g,1.1 g,0.33 g,17.45 g
4840,"Chicken, raw, meat and skin and giblets and neck, roasting",100 g,213,10.00 mg,17.09 g,0.09 g,0.0 g,0,15.46 g
4841,"Chicken, drumstick meat and skin, BBQ, rotisserie, broiler",100 g,206,22.00 mg,25.65 g,0.12 g,0.0 g,0.12 g,11.46 g
4842,"Crackers, reduced fat, peanut butter filled, sandwich-type",100 g,437,0.00 mg,8.33 g,63.49 g,2.8 g,11.11 g,16.67 g
4843,"Potatoes, dry form, granules with milk, dehydrated, mashed",100 g,357,142.00 mg,10.90 g,77.70 g,6.6 g,3.37 g,1.10 g
4844,"Babyfood, dry, with apple and orange, high protein, cereal",100 g,374,751.00 mg,25.40 g,57.60 g,7.1 g,0,6.50 g
4845,"Peas and carrots, solids and liquids, regular pack, canned",100 g,38,23.00 mg,2.17 g,8.48 g,2.0 g,0,0.27 g
4846,"Chicken, raw, and giblets and neck, meat and skin, stewing",100 g,251,10.00 mg,17.48 g,0.19 g,0.0 g,0,19.52 g
4847,"Pork, raw, separable lean and fat, boneless, Leg Cap Steak",100 g,123,7.00 mg,21.64 g,0.00 g,0.0 g,0.00 g,3.39 g
4848,"CAMPBELL'S Red and White, condensed, Chicken Alphabet Soup",100 g,56,0.00 mg,2.38 g,9.52 g,0.8 g,0.79 g,1.19 g
4849,"MORNINGSTAR FARMS Sesame Chik'n Entree, unprepared, frozen",100 g,116,26.00 mg,5.30 g,17.30 g,1.3 g,6.00 g,3.50 g
4850,"MORNINGSTAR FARMS Buffalo Chik Patties, unprepared, frozen",100 g,255,57.00 mg,12.10 g,25.20 g,5.1 g,3.00 g,12.80 g
4851,"Toaster Pastries, Strawberry, KELLOGG'S POP TARTS, KELLOGG",100 g,398,24.00 mg,4.70 g,71.10 g,1.1 g,33.00 g,10.50 g
4852,"Pancakes, incomplete (includes buttermilk), dry mix, plain",100 g,355,342.00 mg,10.00 g,73.60 g,5.4 g,2.21 g,1.70 g
4853,"Cereals, dry, Ham 'n' Cheese flavor, Instant Grits, QUAKER",100 g,355,409.00 mg,10.73 g,71.08 g,4.2 g,2.69 g,4.68 g
4854,"Nuts, with salt added, unflavored, wheat-based, formulated",100 g,622,26.00 mg,13.82 g,23.68 g,5.2 g,0,57.70 g
4855,"Soup, prepared with equal volume water, canned, minestrone",100 g,34,14.00 mg,1.77 g,4.66 g,0.4 g,0,1.04 g
4856,"SUBWAY, meatball marinara sub on white bread (no toppings)",100 g,219,176.00 mg,9.77 g,26.01 g,2.1 g,4.98 g,8.45 g
4857,"Coffeecake, prepared, dry mix, cinnamon with crumb topping",100 g,318,136.00 mg,5.50 g,52.80 g,1.2 g,29.53 g,9.60 g
4858,"Cowpeas, without salt, drained, boiled, cooked, leafy tips",100 g,22,69.00 mg,4.67 g,2.80 g,0,0,0.10 g
4859,"Milk, without added vitamin A and vitamin D, 1% fat, fluid",100 g,42,125.00 mg,3.37 g,4.99 g,0.0 g,5.20 g,0.97 g
4860,"Soup, prepared with equal volume water, canned, black bean",100 g,46,19.00 mg,2.42 g,7.71 g,3.4 g,1.24 g,0.66 g
4861,"Cereals, without salt, cooked with water, enriched, farina",100 g,53,97.00 mg,1.82 g,10.92 g,0.8 g,0.76 g,0.34 g
4862,"Hyacinth beans, without salt, boiled, cooked, mature seeds",100 g,117,40.00 mg,8.14 g,20.69 g,0,0,0.58 g
4863,"Bread, frozen, commercially prepared, whole wheat, paratha",100 g,326,25.00 mg,6.36 g,45.35 g,9.6 g,4.15 g,13.20 g
4864,"Sweet Potatoes, unprepared, frozen, crosscut, french fried",100 g,209,39.00 mg,1.70 g,25.52 g,3.4 g,6.46 g,11.10 g
4865,"Potatoes, unprepared, frozen, french fried, yellow fleshed",100 g,162,9.00 mg,2.47 g,25.01 g,2.2 g,0.37 g,5.84 g
4866,"Cereals ready-to-eat, MOTHER'S Cinnamon Oat Crunch, QUAKER",100 g,382,50.00 mg,10.60 g,79.79 g,8.1 g,25.37 g,4.56 g
4867,"Cheese, fat-free, cheddar or American, pasteurized process",100 g,148,689.00 mg,22.50 g,13.40 g,0.0 g,9.95 g,0.80 g
4868,"Cauliflower, without salt, drained, boiled, cooked, frozen",100 g,19,17.00 mg,1.61 g,3.75 g,2.7 g,1.05 g,0.22 g
4869,"Beverages, milk based, mocha, iced, ready to drink, coffee",100 g,60,52.00 mg,1.48 g,11.42 g,0.0 g,9.23 g,0.98 g
4870,"Macaroni and cheese, unprepared, box mix with cheese sauce",100 g,334,145.00 mg,12.73 g,46.66 g,1.8 g,6.43 g,10.67 g
4871,"Pork, unheated, canned, extra lean and regular, ham, cured",100 g,144,6.00 mg,17.97 g,0.00 g,0.0 g,0.00 g,7.46 g
4872,"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",100 g,468,36.00 mg,5.17 g,72.23 g,1.8 g,32.64 g,17.55 g
4873,"Snacks, mixed flavors, crunchy, KASHI TLC Bar, granola bar",100 g,446,0.00 mg,15.00 g,62.78 g,10.0 g,20.00 g,15.00 g
4874,"Beverages, lemon, ready-to-drink, black, tea, LIPTON BRISK",100 g,35,0,0.00 g,8.81 g,0.0 g,8.69 g,0.00 g
4875,"Macaroni or noodles with cheese, unprepared, microwaveable",100 g,388,328.00 mg,11.48 g,70.75 g,1.6 g,8.20 g,6.56 g
4876,"Chicken, raw, meat and skin, dark meat, broilers or fryers",100 g,237,11.00 mg,16.69 g,0.00 g,0.0 g,0.00 g,18.34 g
4877,"Turkey, roasted, cooked, meat and skin, wing, retail parts",100 g,235,14.00 mg,28.74 g,0.13 g,0.0 g,0.00 g,13.29 g
4878,"UDI'S, Soft & Delicious White Sandwich Bread, Gluten Free",100 g,298,59.00 mg,5.40 g,51.15 g,5.5 g,11.30 g,8.02 g
4879,"Beans, without salt, boiled, cooked, mature seeds, yellow",100 g,144,62.00 mg,9.16 g,25.28 g,10.4 g,0.34 g,1.08 g
4880,"Vitasoy USA Organic Nasoya Sprouted, Tofu Plus Super Firm",100 g,115,239.00 mg,13.24 g,2.16 g,1.2 g,1.10 g,5.90 g
4881,"KELLOGG'S, Frosted Wild Grape Toaster Pastries, POP-TARTS",100 g,390,0,4.10 g,71.80 g,1.3 g,30.50 g,9.80 g
4882,"Beverages, CRYSTAL GEYSER, non-carbonated, bottled, water",100 g,0,0,0.00 g,0.00 g,0,0,0.00 g
4883,"Fast foods, and sausage, cheese, with egg, english muffin",100 g,286,168.00 mg,13.38 g,17.44 g,0.2 g,1.49 g,18.10 g
4884,"Beef, raw, select, separable lean and fat, chuck for stew",100 g,124,14.00 mg,21.90 g,0.21 g,0.0 g,0.00 g,3.99 g
4885,"Beef, raw, choice, separable lean and fat, chuck for stew",100 g,130,13.00 mg,21.64 g,0.12 g,0.0 g,0.00 g,4.81 g
4886,"Cereals ready-to-eat, SPECIAL K Vanilla Almond, KELLOGG'S",100 g,366,34.00 mg,7.80 g,83.00 g,9.6 g,29.20 g,4.00 g
4887,"Pork, raw, separable lean and fat, whole, shoulder, fresh",100 g,236,15.00 mg,17.18 g,0.00 g,0.0 g,0.00 g,17.99 g
4888,"Cheese product, reduced fat, cheddar, pasteurized process",100 g,240,529.00 mg,17.60 g,10.60 g,0.0 g,8.02 g,14.10 g
4889,"Beef, baked, cooked, loaf, 95% lean meat / 5% fat, ground",100 g,174,8.00 mg,27.31 g,0.00 g,0.0 g,0.00 g,6.37 g
4890,"Turkey, roasted, cooked, meat and skin, back, all classes",100 g,244,33.00 mg,26.59 g,0.16 g,0.0 g,0.00 g,14.38 g
4891,"Beans, without salt, drained, boiled, cooked, green, snap",100 g,35,44.00 mg,1.89 g,7.88 g,3.2 g,3.63 g,0.28 g
4892,"Cookies, made with margarine, prepared from recipe, sugar",100 g,472,73.00 mg,5.90 g,60.00 g,1.2 g,24.86 g,23.40 g
4893,KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,100 g,215,418.00 mg,16.30 g,16.20 g,0.2 g,8.20 g,9.50 g
4894,"USDA Commodity, cooked, frozen, fine/coarse, ground, pork",100 g,265,8.00 mg,23.55 g,0.00 g,0.0 g,0,18.19 g
4895,"Puddings, prepared with 2% milk, regular, dry mix, banana",100 g,101,109.00 mg,2.90 g,18.43 g,0.0 g,0,1.73 g
4896,"Fish, raw (may have been previously frozen), Pacific, cod",100 g,69,8.00 mg,15.27 g,0.00 g,0.0 g,0.00 g,0.41 g
4897,"Turnip greens, with salt, drained, boiled, cooked, frozen",100 g,29,152.00 mg,3.35 g,4.98 g,3.4 g,0.75 g,0.42 g
4898,"CAMPBELL'S, condensed, 98% Fat Free Cream of Chicken Soup",100 g,55,11.00 mg,1.80 g,7.46 g,0.4 g,0.50 g,2.02 g
4899,"Babyfood, without added fluoride., GERBER, bottled, water",100 g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,0.00 g
4900,"Corn, without salt, drained, boiled, cooked, white, sweet",100 g,97,2.00 mg,3.34 g,21.71 g,2.7 g,7.73 g,1.41 g
4901,"Pie crust, enriched, ready-to-bake, frozen, standard-type",100 g,457,19.00 mg,6.16 g,48.62 g,2.5 g,3.72 g,26.07 g
4902,"Beef, baked, cooked, loaf, 97% lean meat / 3% fat, ground",100 g,154,6.00 mg,27.58 g,0.00 g,0.0 g,0.00 g,4.06 g
4903,"Corn, drained solids, whole kernel, canned, yellow, sweet",100 g,67,3.00 mg,2.29 g,14.34 g,2.0 g,4.44 g,1.22 g
4904,"Cereals, dry, Country Bacon flavor, Instant Grits, QUAKER",100 g,340,418.00 mg,9.93 g,75.39 g,5.1 g,0.38 g,1.73 g
4905,"Cereals ready-to-eat, FROSTED TOAST CRUNCH, GENERAL MILLS",100 g,410,333.00 mg,5.19 g,78.59 g,4.9 g,29.20 g,10.10 g
4906,"Chicken, roasted, cooked, meat only, light meat, roasting",100 g,153,13.00 mg,27.13 g,0.00 g,0.0 g,0.00 g,4.07 g
4907,"Pork, unheated, separable lean and fat, whole, ham, cured",100 g,246,7.00 mg,18.49 g,0.06 g,0.0 g,0.00 g,18.52 g
4908,"Beef, raw,  external fat, grass-fed, imported, Australian",100 g,509,6.00 mg,11.32 g,0.39 g,0.0 g,0.00 g,51.36 g
4909,"CAMPBELL'S Red and White, condensed, Cream of Shrimp Soup",100 g,81,0.00 mg,2.42 g,6.45 g,0.0 g,0.00 g,4.84 g
4910,"CAMPBELL'S, condensed, chicken with rice, HEALTHY REQUEST",100 g,46,0.00 mg,1.59 g,7.19 g,0.8 g,0.79 g,1.19 g
4911,"Cereals ready-to-eat, ORGANIC PROMISE Autumn Wheat, KASHI",100 g,338,29.00 mg,12.00 g,79.00 g,11.2 g,12.40 g,1.40 g
4912,"KEEBLER, Dark Chocolate, Cheesecake Middles, FUDGE SHOPPE",100 g,506,0,4.40 g,64.70 g,4.1 g,33.70 g,26.50 g
4913,"Potatoes, prepared, with butter sauce, frozen, hash brown",100 g,178,33.00 mg,2.46 g,24.13 g,3.8 g,0,8.79 g
4914,"MISSION FOODS, 8 inch, Soft Taco, MISSION Flour Tortillas",100 g,287,0,8.70 g,49.60 g,0,0,6.00 g
4915,"Puddings, dry mix, instant, low calorie, chocolate flavor",100 g,356,126.00 mg,5.30 g,78.20 g,6.1 g,0.70 g,2.40 g
4916,"Beef, raw, choice, separable lean and fat, shortribs, rib",100 g,388,9.00 mg,14.40 g,0.00 g,0.0 g,0,36.23 g
4917,"Cookies, sugar free, commercially prepared, peanut butter",100 g,523,0.00 mg,10.34 g,50.52 g,3.4 g,0.00 g,31.03 g
4918,"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",100 g,390,44.00 mg,9.80 g,70.90 g,11.2 g,17.50 g,8.80 g
4919,"Soup, reduced sodium, condensed, canned, cream of chicken",100 g,58,11.00 mg,1.80 g,9.50 g,0.4 g,0.39 g,1.30 g
4920,"Cereals, dry, summer berry, REAL MEDLEYS, oatmeal, QUAKER",100 g,353,124.00 mg,11.31 g,72.58 g,8.5 g,20.43 g,4.40 g
4921,"Cereals, dry, apple walnut, REAL MEDLEYS, oatmeal, QUAKER",100 g,390,57.00 mg,8.18 g,70.53 g,7.0 g,29.36 g,10.36 g
4922,"CAMPBELL'S, Essential Antioxidants V8, V8 Vegetable Juice",100 g,21,16.00 mg,0.82 g,4.53 g,0.8 g,3.29 g,0.00 g
4923,"Soup, prepared with water, powder, beef broth or bouillon",100 g,3,4.00 mg,0.21 g,0.25 g,0.0 g,0.20 g,0.08 g
4924,"CAMPBELL'S, condensed, Chicken Noodle Soup, Red and White",100 g,47,0,2.37 g,5.97 g,0,0.00 g,1.53 g
4925,"Nuts, smoke flavor, with salt added, oil roasted, almonds",100 g,607,286.00 mg,21.43 g,17.86 g,10.7 g,3.57 g,55.89 g
4926,"Turkey breast, roasted, cooked, meat and skin, pre-basted",100 g,126,9.00 mg,22.16 g,0.00 g,0.0 g,0,3.46 g
4927,"Turkey, roasted, cooked, meat and skin, wing, all classes",100 g,229,24.00 mg,27.38 g,0.00 g,0.0 g,0.00 g,12.43 g
4928,"Fast foods, and bacon, cheese, egg, griddle cake sandwich",100 g,272,109.00 mg,12.03 g,26.19 g,0.8 g,9.56 g,13.19 g
4929,"Salad dressing, reduced fat, commercial, italian dressing",100 g,102,15.00 mg,0.39 g,9.99 g,0.0 g,9.16 g,6.68 g
4930,"Cereals ready-to-eat, Warm Cinnamon, KASHI HEART TO HEART",100 g,365,55.00 mg,11.60 g,78.50 g,13.2 g,15.69 g,4.90 g
4931,"Cereals ready-to-eat, Banana Nut, CHEERIOS, GENERAL MILLS",100 g,375,357.00 mg,5.50 g,84.69 g,6.1 g,33.09 g,4.00 g
4932,"CAMPBELL'S CHUNKY Soups, Old Fashioned Potato Ham Chowder",100 g,78,8.00 mg,2.45 g,6.94 g,1.2 g,0.41 g,4.49 g
4933,"Pears, solids and liquids, extra light syrup pack, canned",100 g,47,7.00 mg,0.30 g,12.20 g,1.6 g,0,0.10 g
4934,"Pears, solids and liquids, extra heavy syrup pack, canned",100 g,97,5.00 mg,0.19 g,25.25 g,1.6 g,0,0.13 g
4935,"Sweet rolls, commercially prepared with raisins, cinnamon",100 g,372,72.00 mg,6.20 g,50.90 g,2.4 g,31.73 g,16.40 g
4936,"Lettuce, raw, butterhead (includes boston and bibb types)",100 g,13,35.00 mg,1.35 g,2.23 g,1.1 g,0.94 g,0.22 g
4937,"Onions, with salt, drained, boiled, cooked, whole, frozen",100 g,26,27.00 mg,0.71 g,6.11 g,1.4 g,2.90 g,0.05 g
4938,"PILLSBURY GRANDS, refrigerated dough, Buttermilk Biscuits",100 g,293,23.00 mg,6.16 g,42.41 g,1.5 g,4.60 g,11.34 g
4939,"Peppers, with salt, drained, boiled, cooked, green, sweet",100 g,26,9.00 mg,0.92 g,6.11 g,1.2 g,3.19 g,0.20 g
4940,"Onions, raw, spring or scallions (includes tops and bulb)",100 g,32,72.00 mg,1.83 g,7.34 g,2.6 g,2.33 g,0.19 g
